Programa Trabalho;;;;;;;;;;;;;;;;;;;;;;;;o
ConsPturubçlicãioda ddee Ue nPirdoapdaeg adned aT rUatnilidsabdoerd Poública;;705.000,00;;;9-.648030.746,0;;0 8;00.0000,00;;9.400 0,00;;;0 21.2;54,0080;0.00021.253,;;26;0 0,7;;4 800.;00021;;.253,260;
RecuCpoenrsatçruãçoã doa dse UUsniindaadse d dee T Trraatnasmbeorndtoo;;9.400,00;;;98.40000.000,0;;0;09.400,;00;9.400 0,00;;;0 800.;000,00;0 0,00;;;0800.00;;0,00 0;;;0,00 0;
Man uRteecnuçpãeor adçaãso Adativsi dUasdineass ddee TLrimatapmezean toPública;;9.400,00;;1;90.4510.5,0108;;51;.818.96.74000,;00 2;00.0010,00;;;0 0;,00242.0;70.1870,00;;241.;933.6807,0;;0 136.;500;;02,0400.801.3;18
Enc eMrraanmuteenntçoã oe dRaesc Auptiveirdaaçdãeos ddoe LAimtepreroz ad oPú Jbóliqcauei;;190.451.518,0;;0;541.7.80108.670;;,00;0200.00;0,97;4.700 0,00;;;0242.07;0.187,03;0241.933.6;;87,03;0136.50;;0,00 0;240.8;;01.317,070;
Imp lantação de Ecopontos Encerramento e Recuperação do Aterro do Jóquei;;4.700,00;;;838.182 0,00;;-8;38.162 4.700,;00;20 0,00;;;0 0;,00;0 0,00;;;0 0,0;;0 0;;;0 0,00;
Con strução de Centros de Triagem;;;;;;;;;;;;;;;;;;;;;;;;9
;;;;;4.909.091;;-2.;649.957;;0;;;0;2.25;9.134;;2.1;66.497;;92.6;37;;1.784.94;
Implantação de Ecopontos Construção de Áreas de Transbordo e Triagem - ATT´s;;838.182,00;;;-838.162,0;;0;20,0;0;0,00;;;0;,00;0,00;;;0,0;;0;;;0,00;
;;;;;818.182;;-8;18.182;;0;;;0;;0;;;0;;0;;;0;
Construção de Centros de Triagem Construção de Aterro Sanitário - Samambaia;;4.909.091,00;;;-2.649.957,;;00;0,00;;0,00;;;2.259;.134,00;2.166.49;;7,47;92.63;;6,53;1.78;;4.948,69;0
;;;;;24.545.455;;-16;.287.704;;3;;;0;8.25;7.748;;2.8;97.530;;5.360;.218;;2.897.53;
Construção de Áreas de Transbordo e Triagem - ATT´s Recuperação Ambiental da Área da Usina de Incineração de Lixo Especial;;818.182,00;;;-818.182,0 9.400;;0;0,00 0;;0,00 9.400;;;0 0;,00;0,00 0;;;0,0 0;;0 0;;;0,00 0;
Exp aCnosnãsot rduaçã Co odlee tAa tSererole Stivaan itdáeri oR -e Ssaídmuaomsb Raieacicláveis;;24.545.455,0;;0;8.-91462.2.8876.7704;;,00-1.;200.3325,53;;5.229 0,00;;;08.257;.748,477.73;7.320.8397.53;;0,187.7;375.3.30620.2;;18,290;2.89;;7.573.07,3178.30;2
Exe cRueçcãuop derea çSãeon Atemnbçiaesn tJaul ddaic Áiariesa da Usina de Incineração de Lixo Especial;;9.400,00;;;227.200,300;;;15.0090.400,;00 1;1.2510,00;;;0 0;,00 23;0.952 0,00;;13;0.9450,0;;0 100.;007;;0,00130.94;5
For mEaxçpãaon sdãoo Pdaa tCrimoleôtna ioS edleot iSvae rdveid Roers Pídúubolsic Roecicláveis;;8.942.867,00;;;4.3-10.62.0709.3035,;;00;05.229,;36;0 0,00;;;07.737;.302,644.30;6.779.7037.30;;2,283.6;84.0900,3;;6 622.;7007.73;;7.330.22,9298.14;7
Res sEaxreccimuçeãnot odse, SInednetennizçaaçsõ Jeusd ieci areisstituições;;227.203,00;;;5.01145..301020,0;;0 -4;59.51717.251;,19;1 0,00;;;0 230.;951,814.55;4.713340.944;;,934.5;54.710303.00;;6,88 0;13;;0.9444.,49437.43;4
Formação do Patrimônio do Servidor Público 4.306.790,00 0,00 0,00 0,00 4.306.790,00 3.684.090,29 0,00 3.299.147,40 Ressarcimentos, Indenizações e restituições Lei 5.01A4.l3te12r,a0ç0ão -45C9.5o7n7t,0in0genciad1o,18Bloquead0o,00 Desp. 4A.5u5t4o.7r3iz3,a8d2a 4E.55m4.p73e3n,4h1ado D0i,s41ponível 4.447L.4i3q3u,7i9da 366.068.361 25.127.673 978.927 1.026.916 389.190.191 362.832.176 26.358.015 360.814. Lei Alteração Contingenciado Bloqueado Des. Autorizada Empenhado Disponível Liquidado 366D.06i8v.3i6s1ã,00o d2o5.1 O27.r67ç3a,00men9t7o8.9 -26 2,950141.026.916,00 389.190.191,05 362.832.239,66 25.735.315,24 360.814.824,32;;4.306.790,00;;;0,00;;;0,00;;0,00;;;4.306.790,00;;3.684.090,29;;;0,00;;;3.299.147,40;;;
;Lei;;5.01A4.l3te12r,a0ç0ã;;o -;45C9.5o7n7t,0in0ge;;nciad1o,18;Bloq;uead0o,0;0 Des;;p. 4A.5u5t4o.7r3iz3,a8d2a;;;4E.55m4.p73e3n,4h1ad;;o;D0i,s41ponív;;el 4.;447L.4i3q3u,7i9da;;do
;366.068.361;;25.127.673;;;978.927;;;1.026.916;;389.190.191;;;;;362.832.176;;;26.358.015;;;360.814.;;824
;;Lei;;;Alteração;;;Contingenciado;;Bloqueado;;;Des. Autorizada;;Empenhado;;;Disponível;;;Liquidado;;;
;;366D.06i8v.3i6s1ã,00o;;;d2o5.1 O27.r67ç3a,00;;;men9t7o8.9 -26 2,950;;141.026.916,00;;;389.190.191,05;;362.832.239,66;;;25.735.315,24;;;360.814.824,32;;;
