N º;Contrato;Empresa;Data de assinatura/início da;Objeto;Data do término da;Valor (R$);Executores e Suplentes;OBS
1 5;01/2013;OI S.A.;19.04.2013;Chamadas telefônicas de longa distância;18.04.2017;MENSAL: R$ 400,29 ANUAL: R$ 4.803,49;Roger Fragoso Souza/Delano Henrique Sousa Thomé;Vigente
16;11/2013;TECNOSET;01.07.2013;Serviços de impressão;30.06.2017;MENSAL: R$ 14.648,51 ANUAL: R$ 175.782,12;Leandro H. Antunes de Carvalho/Roger Fragoso souza;Vigente
17;13/2013;W&E DEDETIZAÇÃO;01.10.2013;Controle de pragas urbanas;30.09.2017;MENSAL: R$ 11.416,67 ANUAL: R$ 137.000,00;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Vigente
18;03/2016;Casa Civil - DODF;01.03.2016;Publicação no Diário Oficial;01.03.2017;MENSAL: R$ 17.000,00 ANUAL: R$ 204.000,00;Avelange Pereira Durães/Vinícius Andrade;Vigente
19;12/2016;NCT Informatica;28.07.2016;Solução de Redes tipo 03;28.07.2017;TOTAL: R$ 152.000,00;Roger Fragoso Souza/Rafael Monteiro Mont'Alvão França;Vigente
2 0;15/2016;Evolution Card;01.09.2016;Fornecimento de 1000 crachás;01.09.2017;TOTAL: R$ 4.000,00;Célia Maria Pessoa/Sirlane Alves da Silva;Vigente
21;06/2016;APIS;20.09.2016;Suporte de Link de comunicação;20.09.2017;MENSAL: R$ 4.158,17 ANUAL: R$ 49.898,04;Angelo O. L. da Silva/Rafael Monteiro Mont'Alvão França/Andre Wilson P. Santana;Vigente
22;17/2016;HBL;22.09.2016;Confecção de carimbos automáticos;22.09.2017;TOTAL: R$ 1.465,00;Maria de Fátima do N. Dias/Estelamar de Oliveira;Vigente
2 3;18/2016;VCS;22.09.2016;Confecção de carimbos base de madeira;22.09.2017;TOTAL: R$ 532,00;Maria de Fátima do N. Dias/Estelamar de Oliveira;Vigente
2 4;19/2016;KASI;22.09.2016;Licenciamento de uso de sistema da informação (RCC);22.09.2017;MENSAL: R$ 68.750,00 ANUAL: R$ 825.000,00;Edmundo P. Gadelha/Lucas R. D. da Silva/Paulo H. da Fonseca Figueredo;Vigente
25;24/2016;NIVA TECNOLOGIA;11.11.2016;Sistema Integrado de Segurança Eletronica;21.03.2020;TOTAL: R$ 1.081.044,00;Roger Fragoso de Souza/Leandro H. A. de Carvalho/Andre Wilson P. Santana;Vigente
26;26/2016;SERVIX TECNOLOGIA;07.12.2016;Solução de Armazenamento de Dados;07.04.2020;TOTAL: R$ 335.500,00;Roger Fragoso de Souza/Leandro H. A. de Carvalho/Andre Wilson P. Santana;Vigente
2 7;28/2016;DNA Comunicação Visual;28.12.2016;Serviços de Programação Visual, compreendendo o fornecimento e instalação de 27 totens de identificação das Unidades do SLU/DF;28.06.2017;TOTAL: R$ 70.700,00;Andre Luiz S. Thomé/Eduardo Cruz Cunha;Vigente 35
